Eval,m,p,t,Cl,Cd,Error
1,0.01,0.4,0.12,0.4014,0.00862,120.69219600000001
2,0.0101,0.4,0.12,0.4033,0.00862,120.27508900000001
3,0.01,0.4001,0.12,0.4017,0.00862,120.62628900000001
4,0.01,0.4,0.1201,0.4009,0.00862,120.80208099999999
5,0.2,0.8,0.05,Separated,Separated,1002740.0
6,0.029000000000000005,0.44000000000000006,0.11299999999999999,0.5989,0.00819,81.19812099999999
7,0.029100000000000004,0.44000000000000006,0.11299999999999999,0.5998,0.00819,81.036004
8,0.029000000000000005,0.44010000000000005,0.11299999999999999,0.5989,0.00819,81.19812099999999
9,0.029000000000000005,0.44000000000000006,0.11309999999999999,0.599,0.00819,81.1801
10,0.2,0.23837273456135616,0.35,Separated,Separated,1007540.0
11,0.0461,0.41983727345613564,0.1367,0.7791,0.00973,51.969680999999994
12,0.046200000000000005,0.41983727345613564,0.1367,0.7802,0.00973,51.811204000000004
13,0.0461,0.41993727345613563,0.1367,0.7791,0.00972,51.969680999999994
14,0.0461,0.41983727345613564,0.13679999999999998,0.7792,0.00973,51.955264
15,0.1999999978169621,0.10000001270318765,0.27294878581506393,Separated,Separated,1004589.3330427391
16,0.06148999978169621,0.3878535473808408,0.1503248785815064,0.9172,0.0113,35.65558399999999
17,0.061589999781696214,0.3878535473808408,0.1503248785815064,0.9182,0.01131,35.565224
18,0.06148999978169621,0.3879535473808408,0.1503248785815064,0.9172,0.0113,35.65558399999999
19,0.06148999978169621,0.3878535473808408,0.15042487858150638,0.9174,0.01131,35.65837600000001
20,0.09821822661353063,0.10000000000000003,0.06741582734919606,1.0726,0.03583,685.4559759999999
21,0.06516282246487966,0.35906819264275674,0.14203397345827537,0.9339,0.01164,34.736521
22,0.06526282246487966,0.35906819264275674,0.14203397345827537,0.935,0.01163,34.57939999999999
23,0.06516282246487966,0.35916819264275673,0.14203397345827537,0.934,0.01162,34.65999999999999
24,0.06516282246487966,0.35906819264275674,0.14213397345827536,0.9341,0.01163,34.681180999999995
25,0.2,0.20109502475281776,0.23637226057707303,Separated,Separated,1003604.2503031818
26,0.0786465402183917,0.34327087585376287,0.15146780217015512,1.048,0.01456,41.22399999999999
27,0.06980247959504557,0.3536324415526351,0.14528009084577678,0.9728,0.01213,32.330884
28,0.06990247959504557,0.3536324415526351,0.14528009084577678,0.9741,0.01215,32.279581
29,0.06980247959504557,0.3537324415526351,0.14528009084577678,0.9731,0.01213,32.299261
30,0.06980247959504557,0.3536324415526351,0.14538009084577677,0.9729,0.01214,32.363040999999996
31,0.04883334679008636,0.4259461403325755,0.13309589508510236,0.8104,0.00972,47.554815999999995
